Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,Mar 2026,Apr 2026,May 2026
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Sales,Delivered orders,0,0,4
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Sales,Sales (Rs),0,0,2065
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Sales,Market share (%),0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Average rating,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Rated orders,0,0,1
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Bad orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Rejected orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,KPT+10 delayed orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Poor rated orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Non-refunded complaints,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Poor packaging,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Poor quality,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Wrong order,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Missing items,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Self logs other ors,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Lost sales (Rs),0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Online %,0,0,65.45
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Offline time (in hours),0,0,86
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,KPT (in minutes),0,0,19.66
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,FOR accuracy (%),0,0,100
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Impressions,0,0,1767
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Impressions to menu (%),0,0,4.5
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Menu opens,0,0,80
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Menu to cart (%),0,0,16.3
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Cart builds,0,0,13
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Cart to orders (%),0,0,30.8
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Placed Orders,0,0,4
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,New user orders,0,0,4
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Repeat user orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Lapsed user orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Breakfast orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Lunch orders,0,0,2
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Snacks orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Dinner orders,0,0,2
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Late night orders,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Sales from ads (Rs),0,0,1700
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads CTR (%),0,0,5
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads impressions,0,0,1019
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads menu opens,0,0,51
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads orders,0,0,3
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads spend (Rs),0,0,816.0000076293945
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads ROI,0,0,2.0833333138546912
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Offers,Orders with offers,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Offers,Gross sales from offers (Rs),0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Offers,Discount given (Rs),0,0,0
