Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"09 Jun, 2026","10 Jun, 2026","11 Jun, 2026","12 Jun, 2026","13 Jun, 2026","14 Jun, 2026","15 Jun, 2026"
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Sales,Delivered orders,28,29,30,34,33,32,45
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Sales,Sales (Rs),7853.39990234375,8786.599609375,8400.1201171875,9285.0498046875,9394.16015625,11098.75,13948.3603515625
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Sales,Market share (%),0,0,0,0,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Average rating,3.9368999004364014,3.953200101852417,3.9581000804901123,3.9504001140594482,3.921099901199341,3.914599895477295,3.9251999855041504
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Rated orders,3,2,5,3,3,2,3
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Bad orders,3,1,2,4,1,1,2
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Rejected orders,0,0,0,0,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,KPT+10 delayed orders,1,0,0,0,0,1,2
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Poor rated orders,1,1,2,0,1,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Total complaints,1,0,0,4,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Non-refunded complaints,0,0,0,2,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Total complaints - Poor packaging,0,0,0,1,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Total complaints - Poor quality,1,0,0,0,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Total complaints - Wrong order,0,0,0,1,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Total complaints - Missing items,0,0,0,2,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Self logs other ors,1,1,1,0,1,3,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Lost sales (Rs),0,0,0,0,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Online %,100,100,100,100,100,100,100
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,Offline time (in hours),0,0,0,0,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,KPT (in minutes),14.7832,12.0115,9.265,13.8218,13.5816,15.1363,21.4271
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer experience,FOR accuracy (%),89.3,86.2,90.6,97.1,97,90.6,91.1
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Impressions,3582,2478,2962,3424,3800,4454,3146
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Impressions to menu (%),7.2,8.2,8.1,9.4,8.7,7.9,8.9
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Menu opens,259,202,239,323,330,351,280
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Menu to cart (%),34.7,42.6,34.3,37.5,37,41.9,46.1
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Cart builds,90,86,82,121,122,147,129
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Cart to orders (%),31.1,33.7,39,28.9,27,21.8,34.9
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer funnel,Placed Orders,28,29,32,35,33,32,45
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,New user orders,15,11,14,18,18,17,26
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Repeat user orders,10,12,15,12,13,10,12
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Lapsed user orders,3,6,3,5,2,5,7
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Breakfast orders,0,0,0,0,0,0,0
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Lunch orders,1,3,1,4,3,5,4
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Snacks orders,5,0,5,4,1,0,3
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Dinner orders,19,16,15,17,16,15,21
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Customer segmentation,Late night orders,3,10,11,10,13,12,17
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Sales from ads (Rs),7075.3,7472.599999999999,7767.58,7938.360000000001,6624.16,8684.72,11899.06
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Ads CTR (%),7.6,9,9.2,10.4,9.3,8.1,9.4
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Ads impressions,3108,1548,2095,2595,3045,3593,2441
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Ads menu opens,235,140,193,269,283,292,229
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Ads orders,25,22,28,29,24,28,38
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Ads spend (Rs),2560.000244140625,896.0000610351562,960.0000610351562,1040,976.0000610351562,2324.3560180664062,1869.7797241210938
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Ads,Ads ROI,4.2437495952845,11.260043875827526,11.59999926249191,11.667307692307693,9.725409227877181,5.52195958804849,9.165785562283743
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Offers,Orders with offers,7526.4,6366,7886.04,9067.05,8654.16,9919.75,11962.76
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Offers,Gross sales from offers (Rs),27,24,30,34,31,28,40
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Offers,Discount given (Rs),3867.800000190735,3331.800003051758,3691.6600189208984,4933.980014801025,4122.440021514893,4379.079986572266,5675.549988746643
18980129,Suraj Chinese Corner,Matunga East,Mumbai,Offers,Effective discount (%),51.38977532918875,52.33741757856987,46.812595429832065,54.416597692562,47.63535625739122,44.14506400435763,47.44348377750877
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Sales,Delivered orders,4,6,5,5,0,3,3
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Sales,Sales (Rs),1465,2710.5,1747.5,2128,0,2883.72998046875,1636
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Sales,Market share (%),0,0,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer experience,Average rating,4.513199806213379,4.514100074768066,4.513299942016602,4.514100074768066,4.517300128936768,4.519899845123291,4.521699905395508
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer experience,Rated orders,1,1,0,1,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer experience,Bad orders,0,1,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer experience,Rejected orders,0,0,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer experience,KPT+10 delayed orders,0,0,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer experience,Poor rated orders,0,0,0,0,0,0,0
